name,smiles,DN,AN,LogP,TPSA,MolWt,viscosity_cP,dielectric_constant,boiling_point_c
DMSO,CS(=O)C,29.8,19.3,-1.35,17.1,78.13,1.99,46.7,189.0
TEP,CCOP(=O)(OCC)OCC,24.5,10.2,0.39,44.8,182.16,1.78,18.5,215.0
NMP,CN1CCCC1=O,27.3,13.3,-0.46,17.8,99.13,1.67,32.2,202.0
Ethylene glycol,OCCO,19.0,37.0,-1.36,40.5,62.07,16.1,37.0,197.0
Glycerol,OCC(O)CO,20.3,27.7,-1.76,60.7,92.09,945.0,42.5,290.0
Acetonitrile,CC#N,14.1,19.3,-0.34,23.8,41.05,0.37,35.9,82.0
Propylene carbonate,CC1OC(=O)OC1,15.1,18.3,-0.41,26.3,102.09,2.5,64.4,242.0
Sulfolane,O=S1(=O)CCCC1,14.8,18.0,-0.77,34.1,120.17,10.3,43.3,285.0
Formamide,NC=O,24.0,16.0,-1.5,43.1,45.04,3.3,111.0,210.0
Triglyme,COCCOCCOCCOC,20.0,10.0,-0.18,36.9,178.23,2.8,7.9,216.0
"1,2-Propanediol",CC(O)CO,18.3,26.8,-0.92,40.5,76.09,58.0,32.0,188.0
Methanol,CO,19.0,41.3,-0.74,20.2,32.04,0.54,32.7,65.0
DOL,C1COCO1,14.8,10.0,-0.06,18.5,74.08,0.56,7.0,75.0
Triethylene glycol,OCCOCCOCCO,18.8,20.0,-1.7,58.9,150.17,48.0,32.0,285.0
Ethyl acetate,CCOC(=O)C,17.1,12.7,-0.3,26.3,88.11,0.45,6.0,77.0
GBL,O=C1OCCC1,18.0,14.0,-0.7,26.3,86.09,1.7,39.0,204.0
TMC,CC1OC(=O)OC1C,16.5,11.0,0.15,26.3,116.12,1.1,9.0,238.0
Diethylene glycol,OCCOCCO,18.5,23.5,-1.5,49.7,106.12,35.7,31.7,245.0
2-Methoxyethanol,COCCO,20.0,27.0,-0.77,29.5,76.09,1.62,16.9,124.0
